bus_id ,stage_index ,value
     1 ,          1 , 75.0
     1 ,          2 , 75.0
     1 ,          3 , 75.0
     1 ,          4 , 75.0
     1 ,          5 , 75.0
     1 ,          6 , 75.0
     1 ,          7 , 75.0
     1 ,          8 , 75.0
     1 ,          9 , 75.0
     1 ,         10 , 75.0
     1 ,         11 , 75.0
     1 ,         12 , 75.0
     1 ,         13 , 75.0
     1 ,         14 , 75.0
     1 ,         15 , 75.0
     1 ,         16 , 75.0
     1 ,         17 , 75.0
     1 ,         18 , 75.0
     1 ,         19 , 75.0
     1 ,         20 , 75.0
     1 ,         21 , 75.0
     1 ,         22 , 75.0
     1 ,         23 , 75.0
     1 ,         24 , 75.0
     1 ,         25 , 75.0
     1 ,         26 , 75.0
     1 ,         27 , 75.0
     1 ,         28 , 75.0
     1 ,         29 , 75.0
     1 ,         30 , 75.0
     1 ,         31 , 75.0
     1 ,         32 , 75.0
     1 ,         33 , 75.0
     1 ,         34 , 75.0
     1 ,         35 , 75.0
     1 ,         36 , 75.0
     1 ,         37 , 75.0
     1 ,         38 , 75.0
     1 ,         39 , 75.0
     1 ,         40 , 75.0
     1 ,         41 , 75.0
     1 ,         42 , 75.0
     1 ,         43 , 75.0
     1 ,         44 , 75.0
     1 ,         45 , 75.0
     1 ,         46 , 75.0
     1 ,         47 , 75.0
     1 ,         48 , 75.0
     1 ,         49 , 75.0
     1 ,         50 , 75.0
     1 ,         51 , 75.0
     1 ,         52 , 75.0
     1 ,         53 , 75.0
     1 ,         54 , 75.0
     1 ,         55 , 75.0
     1 ,         56 , 75.0
     1 ,         57 , 75.0
     1 ,         58 , 75.0
     1 ,         59 , 75.0
     1 ,         60 , 75.0
     1 ,         61 , 75.0
     1 ,         62 , 75.0
     1 ,         63 , 75.0
     1 ,         64 , 75.0
     1 ,         65 , 75.0
     1 ,         66 , 75.0
     1 ,         67 , 75.0
     1 ,         68 , 75.0
     1 ,         69 , 75.0
     1 ,         70 , 75.0
     1 ,         71 , 75.0
     1 ,         72 , 75.0
     1 ,         73 , 75.0
     1 ,         74 , 75.0
     1 ,         75 , 75.0
     1 ,         76 , 75.0
     1 ,         77 , 75.0
     1 ,         78 , 75.0
     1 ,         79 , 75.0
     1 ,         80 , 75.0
     1 ,         81 , 75.0
     1 ,         82 , 75.0
     1 ,         83 , 75.0
     1 ,         84 , 75.0
     1 ,         85 , 75.0
     1 ,         86 , 75.0
     1 ,         87 , 75.0
     1 ,         88 , 75.0
     1 ,         89 , 75.0
     1 ,         90 , 75.0
     1 ,         91 , 75.0
     1 ,         92 , 75.0
     1 ,         93 , 75.0
     1 ,         94 , 75.0
     1 ,         95 , 75.0
     1 ,         96 , 75.0
     1 ,         97 , 75.0
     1 ,         98 , 75.0
     1 ,         99 , 75.0
     1 ,        100 , 75.0
     1 ,        101 , 75.0
     1 ,        102 , 75.0
     1 ,        103 , 75.0
     1 ,        104 , 75.0
     1 ,        105 , 75.0
     1 ,        106 , 75.0
     1 ,        107 , 75.0
     1 ,        108 , 75.0
     1 ,        109 , 75.0
     1 ,        110 , 75.0
     1 ,        111 , 75.0
     1 ,        112 , 75.0
     1 ,        113 , 75.0
     1 ,        114 , 75.0
     1 ,        115 , 75.0
     1 ,        116 , 75.0
     1 ,        117 , 75.0
     1 ,        118 , 75.0
     1 ,        119 , 75.0
     1 ,        120 , 75.0   
